Title,Artist,Genre,Year,BPM,Energy,Danceability,Loudness (dB),Liveness,Valeness
Tik Tok,Kesha,dance pop,2010,120,84,76,-3,29,71
Bad Romance,Lady gaga,dance pop,2010,119,92,70,-4,8,71
Baby,Justin Bieber,canadian pop,2011,65,86,73,-5,11,54
telephone,Lady Gaga,dance pop,2012,122,83,83,-6,11,71
Secrets,OneRepublic,dance pop,2013,148,76,52,-6,12,38
